Compound,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol,Nb_tol
VRuBi,3,6.166,10.229,19.533,199.814,-7.173,0,0.199,PBE,58.599,143.372,5.333,0.348,3,0.167,251.0941,3.637,11,0.735,27.28,1.255,13.932,1.198,15.129,9.968,15.042,0.1,
VRuP,3,5.625,6.83,14.829,101.285,-8.374,0,0.074,PBE,44.486,204.176,5.333,0.541,3,0.26,184.859,2.901,3,1.395,14.876,1.255,41.535,1.918,43.453,3.796,1.385,0.1,
VRuSb,3,6.029,8.296,18.266,151.536,-7.646,0,0.176,PBE,54.798,163.953,5.333,0.013,3,0.006,39508.623,1.708,11,0.345,96.994,1.255,23.151,1.454,24.605,50.247,16.65,0.1,
WCoAl,3,5.63,10.039,14.874,149.313,-8.04,0,0.455,MBJ,44.621,195.013,5.333,0.11,3,0.053,1921.7586,0.158,6,0.048,2235.493,1.255,23.522,1.545,25.067,16.332,34.702,0.1,
WCoB,3,5.232,11.759,11.937,140.362,-8.755,0,0.753,PBE,35.81,262.595,5.333,0.05,3,0.024,8501.9113,1.356,8,0.339,159.643,1.255,32.422,1.783,34.205,25.937,14.104,0.1,
WCoGa,3,5.622,11.683,14.805,172.971,-7.703,0,0.346,PBE,44.416,201.667,5.333,0.018,3,0.008,31271.6037,1.83,6,0.554,58.647,1.255,21.002,1.458,22.46,56.762,9.211,0.1,
WCoIn,3,5.874,11.718,16.891,197.931,-7.176,0,0.377,PBE,50.674,171.453,5.333,0.259,9,0.06,1400.7853,0.864,6,0.262,153.742,1.255,15.939,1.285,17.223,58.166,16.023,0.1,
WFeC,3,5.164,12.138,11.478,139.317,-9.298,0,0.518,PBE,34.434,273.211,5.333,0.301,3,0.145,595.5946,1.355,8,0.339,166.288,1.255,33.185,1.813,34.998,8.963,14.348,0.14,
WFeGe,3,5.623,11.669,14.815,172.876,-8.693,0,0.201,PBE,44.446,218.169,5.333,0.135,3,0.065,1579.6661,3.512,8,0.878,31.821,1.255,25.052,1.517,26.57,15.239,8.523,0.1,
WFeSi,3,5.532,10.505,14.109,148.214,-9.21,0,0.048,PBE,42.328,235.323,5.333,0.11,3,0.053,2310.2426,4.05,8,1.013,27.717,1.255,32.598,1.688,34.286,14.387,6.54,0.1,
WFeSn,3,5.875,11.742,16.894,198.376,-8.204,0,0.235,PBE,50.683,188.992,5.333,0.102,3,0.049,2087.7154,3.745,14,0.645,43.816,1.255,19.734,1.347,21.081,19.7,19.6,0.1,
WIrAl,3,5.929,12.843,17.371,223.087,-8.874,0,0.143,MBJ,52.112,212.737,5.333,3.162,3,1.52,13.6238,1.107,6,0.335,131.516,1.255,23.434,1.354,24.788,2.403,11.905,0.1,
WIrB,3,5.627,14.426,14.844,214.136,-9.177,0,0.591,MBJ,44.531,257.422,5.333,0.034,3,0.016,14890.8198,0.61,8,0.152,518.769,1.255,27.962,1.481,29.443,37.256,25.941,0.1,
WIrGa,3,5.933,14.179,17.402,246.745,-8.456,0,0.233,MBJ,52.205,215.895,5.333,5.033,3,2.42,6.8831,0.684,6,0.207,274.731,1.255,21.488,1.297,22.785,2.007,17.543,0.1,
WIrIn,3,6.149,14.024,19.375,271.706,-8.001,0,0.363,MBJ,58.124,192.332,5.333,0.968,3,0.465,72.7553,0.52,6,0.157,369.498,1.255,18.103,1.188,19.291,5.681,21.766,0.1,
WOsPb,3,6.238,15.907,20.226,321.74,-8.599,0,0.347,MBJ,60.679,187.378,5.333,0.492,3,0.236,195.5852,0.805,14,0.139,436.154,1.255,15.081,1.085,16.166,9.913,63.755,0.1,
WOsSn,3,6.147,14.09,19.359,272.76,-9.163,0,0.244,MBJ,58.076,207.395,5.333,4.445,3,2.137,7.9673,1.94,14,0.334,128.896,1.255,21.264,1.231,22.495,2.104,29.903,0.1,
